Name,Years in Business,Rating,Phone Number,Url,Address,Categories
Dave & Buster's New York City - Times Square,43 Years,(263),(646) 495-2015,http://www.daveandbusters.com/,"234 W 42nd St 3rd Fl
New York, NY 10036",American Restaurants
Paul & Jimmy's Restaurant,75 Years,(77),(212) 475-9540,https://www.paulandjimmys.com/,"123 E 18th St
New York, NY 10003",Italian Restaurants
Festival Restaurant,34 Years,No rating,(212) 995-0154,No website link available,"120 Rivington St
New York, NY 10002",Family Style Restaurants
Bobby Van's Steakhouse - 54th Street,22 Years,(200),(212) 207-8050,http://www.bobbyvans.com/54th-street.html,"131 E 54th St
New York, NY 10022",Steak Houses
Johnny Rock,Not Available,No rating,(212) 813-0003,No website link available,"930 3rd Ave
New York, NY 10022",American Restaurants
S'mac,19 Years,(473),(212) 358-7912,http://www.eatsmac.com/,"197 1st Ave
New York, NY 10003",American Restaurants
Pita Grill Restaurant,Not Available,No rating,(212) 363-2333,No website link available,"69 New St
New York, NY 10004",Family Style Restaurants
Sparks Steak House,30 Years,(1469),(212) 687-4855,http://www.sparkssteakhouse.com/,"210 E 46th St
New York, NY 10017",Steak Houses
Babbo,27 Years,(1981),(212) 777-0303,http://www.babbonyc.com/,"110 Waverly Pl
New York, NY 10011",Italian Restaurants
Red House Restaurant,30 Years,(4),(212) 228-8288,No website link available,"203 E 14th St Frnt A
New York, NY 10003",Chinese Restaurants
El Presidente Restaurant,36 Years,No rating,(212) 927-7011,http://elpresidenterest.com/index1.html,"3938 Broadway
New York, NY 10032",Latin American Restaurants
Firefly,Not Available,No rating,(212) 966-8716,http://www.fireflynyc.com/,"54 Spring St
New York, NY 10012",Family Style Restaurants
Hudson Falafel Restaurant,Not Available,No rating,(212) 242-3939,No website link available,"516 Hudson St
New York, NY 10014",African Restaurants
Gramercy Café,Not Available,(103),(212) 982-2121,http://www.gramercykitchen.nyc/,"184 3rd Ave
New York, NY 10003",American Restaurants
Carbone Ristorante Italiano,Not Available,No rating,(212) 290-2625,No website link available,"331 W 38th St
New York, NY 10018",Pizza
Planet Hollywood,22 Years,No rating,(212) 333-7827,http://www.planethollywoodintl.com/locations.php,"1540 Broadway
New York, NY 10036",Bar & Grills
Old Homestead Steakhouse,50 Years,(1222),(212) 242-9040,https://www.theoldhomesteadsteakhouse.com/contact,"56 9th Ave
New York, NY 10011",Steak Houses
Il Piccolo Bufalo,Not Available,(462),(212) 219-9068,http://www.ilpiccolobufalo.com/,"141 Mulberry St
New York, NY 10013",Italian Restaurants
Sofia's of Little Italy,21 Years,(492),(212) 219-9799,https://www.sofias143.com/,"143 Mulberry St
New York, NY 10013",Italian Restaurants
Stout NYC,21 Years,(445),(212) 629-6191,https://www.stoutnyc.com/,"133 W 33rd St
New York, NY 10001",American Restaurants
Noi Due,Not Available,(111),(212) 712-2222,http://www.noiduecafe.com/,"143 W 69th St
New York, NY 10023",Italian Restaurants
Frankie's Spuntino,21 Years,No rating,(212) 253-2303,http://www.frankiesspuntino.com/,"17 Clinton St
New York, NY 10002",Italian Restaurants
Pinto Restaurant,18 Years,No rating,(212) 366-5455,No website link available,"118 Christopher St
New York, NY 10014",Thai Restaurants
Esca,25 Years,No rating,(212) 564-7272,http://www.esca-nyc.com/,"402 W 43rd St
New York, NY 10036",Family Style Restaurants
Dervish Turkish Restaurant,Not Available,No rating,(212) 997-0070,http://www.dervishrestaurant.com/,"146 W 47th St
New York, NY 10036",Mediterranean Restaurants
Georgio's Country Grill,Not Available,No rating,(212) 977-1150,http://georgioscountrygrill.com/,"801 9th Ave
New York, NY 10019",American Restaurants
Mughlai Indian Cuisine,36 Years,No rating,(212) 724-6363,No website link available,"320 Columbus Ave
New York, NY 10023",Indian Restaurants
Nello,33 Years,(583),(212) 980-9099,http://www.nytimes.com/2010/04/14/dining/reviews/14rest.html?_r=1,"696 Madison Ave
New York, NY 10065",Italian Restaurants
T.G.I. Fridays,Not Available,No rating,(212) 681-8458,http://tgifridays.com/,"47 E 42nd St
New York, NY 10017",American Restaurants
Fiamma,Not Available,No rating,(212) 653-0100,http://fiamma41.com/,"206 Spring St
New York, NY 10012",Italian Restaurants
Cipriani Club 55,19 Years,(458),(212) 699-4096,http://cipriani.com/,"55 Wall St
New York, NY 10005",Italian Restaurants
Harry's,53 Years,(377),(212) 785-9200,http://www.harrysnyc.com/,"1 Hanover Sq
New York, NY 10004",American Restaurants
Lavagna Restaurant,Not Available,(160),(212) 979-1005,http://www.lavagnanyc.com/,"545 E 5th St
New York, NY 10009",Mediterranean Restaurants
Il Cantinori,42 Years,(208),(212) 673-6044,http://www.ilcantinori.com/,"32 E 10th St
New York, NY 10003",Italian Restaurants
Indian Road Cafe,17 Years,(88),(212) 942-7451,http://www.indianroadcafe.com/,"600 W 218th St
New York, NY 10034",American Restaurants
Niko,Not Available,No rating,(212) 991-5650,No website link available,"170 Mercer St
New York, NY 10012",Family Style Restaurants
Prima,Not Available,No rating,(646) 559-4823,http://www.primanyc.net/,"58 E 1st St
New York, NY 10003",Family Style Restaurants
Knife & Fork Restaurant & Wine Bar,18 Years,No rating,(212) 228-4885,No website link available,"108 E 4th St
New York, NY 10003",Family Style Restaurants
Whitmans,Not Available,(98),(917) 261-2858,http://whitmansnyc.com/,"406 E 9th St
New York, NY 10009",American Restaurants
Sauce Pizzeria,Not Available,(18),(646) 983-4007,https://www.saucepizzeria.com/,"345 E 12th St
New York, NY 10003",Pizza
Steak Frites,33 Years,No rating,(212) 675-4700,No website link available,"9 E 16th St
New York, NY 10003",Family Style Restaurants
Chelsea Gallery Restaurant,Not Available,No rating,(212) 691-5454,No website link available,"72 7th Ave
New York, NY 10011",Family Style Restaurants
Wildwood Barbeque,Not Available,No rating,(212) 533-2500,http://wildwoodbbq.com/,"225 Park Ave S Frnt 1
New York, NY 10003",Barbecue Restaurants
Dublin House,104 Years,(45),(212) 874-9528,http://www.dublinhousenyc.com/,"225 W 79th St
New York, NY 10024",Irish Restaurants
Casa Nonna,15 Years,No rating,(212) 736-3000,http://e2hospitality.com/restaurants/casa-nonna,"310 W 38th St
New York, NY 10018",Italian Restaurants
Madison Restaurant,77 Years,(184),(212) 421-0948,http://www.madison1.com/,"965 1st Ave
New York, NY 10022",American Restaurants
Juniors,20 Years,(1160),(212) 302-2000,https://www.juniorscheesecake.com/blog/restaurants/49thstreet,"1515 Broadway
New York, NY 10036",Dessert Restaurants
Sotto Cinque Restaurant,Not Available,No rating,(212) 472-5563,No website link available,"322 E 86th St
New York, NY 10028",Mediterranean Restaurants
Ben Benson's Steak House,Not Available,No rating,(212) 581-8888,No website link available,"123 W 52nd St
New York, NY 10019",Steak Houses
Rocco's Pizza Joint,Not Available,(12),(212) 633-9555,http://www.roccospizzany.com/,"148 8th Ave
New York, NY 10011",Pizza
Duke's,Not Available,No rating,(212) 949-5400,No website link available,"560 3rd Ave
New York, NY 10016",American Restaurants
Kaijou,Not Available,No rating,(212) 786-9888,No website link available,"21 S End Ave
New York, NY 10280",Family Style Restaurants
Rafele,Not Available,(1256),(212) 242-1999,http://www.rafele.com/,"29 7th Ave S
New York, NY 10014",Italian Restaurants
T.G.I. Friday's,Not Available,No rating,(646) 556-6381,http://www.tgifridays.com/,"34 Union Sq E
New York, NY 10003",American Restaurants
Moonstruck East Restaurant,35 Years,(36),(212) 213-1100,http://moonstruckmidtown.com/,"449 3rd Ave
New York, NY 10016",American Restaurants
Cosi,Not Available,No rating,(212) 588-1225,http://www.getcosi.com/,"60 E 56th St
New York, NY 10022",Sandwich Shops
Guantanamera,20 Years,(679),(212) 262-5354,http://www.guantanamerany.com/,"939 8th Ave
New York, NY 10019",Latin American Restaurants
Kambi Ramen House,17 Years,No rating,(212) 228-1366,http://www.newyorkramen.com/,"351 E 14th St
New York, NY 10003",Asian Restaurants
ReSette Italian Restaurant,Not Available,No rating,(212) 221-7530,No website link available,"7 W 45th St
New York, NY 10036",Italian Restaurants
Meson Sevilla,38 Years,(352),(212) 262-5890,No website link available,"344 W 46th St
New York, NY 10036",Tapas
Brasserie 8 1/2,Not Available,(9),(212) 829-0821,https://www.brasserie812.com/,"9 W 57th St
New York, NY 10019",Italian Restaurants
Barfly Sports Bar & Restaurant,Not Available,(30),(212) 473-9660,http://www.barflyny.com/,"244 3rd Ave
New York, NY 10010",American Restaurants
Ben's Kosher Deli,53 Years,No rating,(212) 991-2052,http://www.bensdeli.net/,"209 W 38th St
New York, NY 10018",Delicatessens
Houlihan's,Not Available,No rating,(212) 626-7312,http://www.houlihans.com/,"729 7th Ave
New York, NY 10019",American Restaurants
Margot Restaurant,24 Years,No rating,(212) 781-8494,No website link available,"3822 Broadway
New York, NY 10032",Family Style Restaurants
Chevys Fresh Mex,39 Years,No rating,(212) 302-4010,http://www.chevys.com/,"259 W 42nd St
New York, NY 10036",Mexican Restaurants
Sidecar,19 Years,(1736),(212) 317-2044,http://www.pjclarkes.com/,"915 3rd Ave
New York, NY 10022",American Restaurants
Nino's Restaurant,33 Years,(177),(212) 988-0002,http://ninosnyc.com/,"1354 1st Ave Frnt 1
New York, NY 10021",Italian Restaurants
L'Allegria Italian Restaurant,Not Available,No rating,(212) 266-6777,No website link available,"623 9th Ave
New York, NY 10036",Italian Restaurants
Trattoria Trecolori,34 Years,(2855),(212) 997-4540,http://www.trattoriatrecolori.com/,"254 W 47th St
New York, NY 10036",Italian Restaurants
Hillstone,26 Years,(659),(212) 689-1090,http://www.hillstone.com/hillstone,"378 Park Ave S
New York, NY 10010",American Restaurants
db Bistro moderne,24 Years,No rating,(212) 391-2400,http://www.dbbistro.com/,"55 W 44th St
New York, NY 10036",American Restaurants
Ellen's Stardust Diner,33 Years,(22978),(212) 956-5151,https://www.ellensstardustdiner.com/,"1650 Broadway
New York, NY 10019",American Restaurants
Fresco by Scotto,Not Available,(525),(212) 935-3434,http://www.frescobyscotto.com/,"34 E 52nd St
New York, NY 10022",Italian Restaurants
Strip House Steakhouse,25 Years,(705),(212) 336-5454,https://www.striphouse.com/location/striphouse-midtown,"15 W 44th St
New York, NY 10036",Steak Houses
Amazing 66 Restaurant,19 Years,No rating,(212) 334-0099,No website link available,"66 Mott St
New York, NY 10013",Chinese Restaurants
Lupa Osteria Romana,Not Available,(990),(212) 982-5089,http://www.luparestaurant.com/,"170 Thompson St
New York, NY 10012",Italian Restaurants
Boqueria Flatiron,19 Years,(442),(212) 255-4160,https://boqueriarestaurant.com/tapas-bar-nyc-flatiron,"53 W 19th St
New York, NY 10011",Spanish Restaurants
Elmo,29 Years,(315),(212) 337-8000,http://www.elmorestaurant.com/,"156 7th Ave
New York, NY 10011",American Restaurants
Frank's Trattoria,Not Available,(35),(212) 677-7141,http://www.orderfrankstrattoria.com/?utm_source=organic_tripadvisor&utm_medium=ta_website,"371 1st Ave
New York, NY 10010",Italian Restaurants
Osteria Laguna Restaurant,28 Years,(803),(212) 557-0001,No website link available,"209 E 42nd St
New York, NY 10017",Continental Restaurants
Quality Meats,19 Years,(2438),(212) 371-7777,http://qualitymeatsnyc.com/,"57 W 58th St
New York, NY 10019",Steak Houses
EJ's Luncheonette,35 Years,(268),(212) 472-0600,http://www.ejsluncheonette.com/,"1271 3rd Ave
New York, NY 10021",American Restaurants
Flex Mussels,Not Available,(349),(212) 717-7772,http://www.flexmussels.com/,"174 E 82nd St
New York, NY 10028",Seafood Restaurants
Carmine's Italian Restaurant - Upper West Side,Not Available,(1956),(212) 362-2200,http://carminesnyc.com/locations/upper-west-side-nyc,"2450 Broadway
New York, NY 10024",Italian Restaurants
Aangan,Not Available,(76),(212) 280-4100,http://www.aanganindiancuisine.com/,"2701 Broadway
New York, NY 10025",Indian Restaurants
Pound & Pence,Not Available,(8),(212) 716-1140,http://poundandpence.com/,"55 Liberty St
New York, NY 10005",American Restaurants
Pylos,21 Years,(414),(212) 473-0220,http://www.pylosrestaurant.com/,"128 E 7th St
New York, NY 10009",Mediterranean Restaurants
Tello's,Not Available,No rating,(212) 691-8696,No website link available,"198 8th Ave
New York, NY 10011",Italian Restaurants
Trattoria Alba,35 Years,No rating,(212) 689-3200,No website link available,"233 E 34th St
New York, NY 10016",Italian Restaurants
Pietro's,93 Years,(178),(212) 682-9760,http://www.pietrosnyc.com/,"232 E 43rd St
New York, NY 10017",Italian Restaurants
Bistecca Fiorentina,21 Years,No rating,(212) 258-3232,http://bisteccafiorentinanyc.com/,"317 W 46th St
New York, NY 10036",Steak Houses
Yakitori Totto,20 Years,(317),(212) 245-4555,https://www.tottonyc.com/contact,"251 W 55th St
New York, NY 10019",Japanese Restaurants
Bello Giardino,25 Years,(66),(212) 875-1512,https://www.polpetteny.com/,"71 W 71st St Frnt 1
New York, NY 10023",Italian Restaurants
Harlem BBQ,14 Years,(27),(212) 222-1922,No website link available,"2367 Frederick Douglass Blvd
New York, NY 10027",Barbecue Restaurants
La Terraza Restaurant Incorpor,19 Years,No rating,(212) 795-0615,No website link available,"3881 Broadway
New York, NY 10032",Family Style Restaurants
United Sea Food Corporation,Not Available,No rating,(212) 544-0005,No website link available,"3835 9th Ave
New York, NY 10034",Seafood Restaurants
Le Tout Va Bien - French Restaurant,Not Available,No rating,(212) 265-0190,No website link available,"311 W 51st St
New York, NY 10019",French Restaurants
Antique Garage,20 Years,(439),(212) 219-1019,No website link available,"41 Mercer St
New York, NY 10013",Mediterranean Restaurants
Il Punto Ristorante,21 Years,(1608),(212) 244-0088,http://ilpuntoristorante.com/,"507 9th Ave
New York, NY 10018",Italian Restaurants
Serafina Broadway,Not Available,(1769),(212) 315-1700,https://www.serafinarestaurant.com/location/serafina-broadway,"210 W 55th St
New York, NY 10019",Italian Restaurants
Hop Lee Restaurant,Not Available,(89),(212) 962-6475,http://www.hopleenyc.com/,"16 Mott St
New York, NY 10013",Asian Restaurants
Extra Virgin,26 Years,(352),(212) 691-9359,http://www.extravirginrestaurant.com/,"259 W 4th St
New York, NY 10014",Mediterranean Restaurants
Trattoria Dell'Arte,34 Years,(1967),(212) 245-9800,https://www.trattoriadellarte.com/,"900 7th Ave
New York, NY 10106",Italian Restaurants
IHOP,21 Years,No rating,(212) 234-4747,No website link available,"2294 Adam Clayton Powell Jr Blvd
New York, NY 10030",American Restaurants
Berimbau Brazilian Kitchen,48 Years,(132),(212) 401-0021,http://www.berimbaunyc.com/,"43 Carmine St
New York, NY 10014",Brazilian Restaurants
Westville East,Not Available,(78),(212) 677-2033,http://www.westvillenyc.com/,"173 Avenue A
New York, NY 10009",American Restaurants
Old Town Bar,133 Years,(186),(212) 529-6732,https://oldtownbarnyc.com/,"45 E 18th St
New York, NY 10003",American Restaurants
The Capital Grille,10 Years,(960),(212) 953-2000,https://www.thecapitalgrille.com/locations/ny/new-york/nyc-chrysler-center/8021,"155 E 42nd St
New York, NY 10017",Fine Dining Restaurants
Bobby Van's Grill & Steakhouse - Times Square,56 Years,No rating,(212) 575-5623,http://www.bobbyvans.com/45th-street.html,"120 W 45th St
New York, NY 10036",Fine Dining Restaurants
Kosher Deluxe,Not Available,(65),(212) 869-6699,http://www.kosherdeluxe.com/,"10 W 46th St
New York, NY 10036",Chinese Restaurants
Redeye Grill,31 Years,(1204),(212) 541-9000,No website link available,"890 7th Ave
New York, NY 10019",American Restaurants
Uskudar Turkish Restaurant,38 Years,(85),(212) 988-4046,No website link available,"1405 2nd Ave Frnt 1
New York, NY 10021",Middle Eastern Restaurants
Settepani,Not Available,(146),(917) 492-4806,https://www.settepani.com/,"196 Malcolm X Blvd
New York, NY 10026",Italian Restaurants
Takahachi Tribeca Restaurant,Not Available,(60),(212) 571-1830,http://www.takahachi.net/,"145 Duane St Frnt 1
New York, NY 10013",Asian Restaurants
Pearl Street Diner,41 Years,(299),(212) 344-6620,http://www.pearldinerny.com/,"212 Pearl St
New York, NY 10038",American Restaurants
The Full Shilling,26 Years,(62),(212) 422-3855,http://www.thefullshilling.com/,"160 Pearl St
New York, NY 10005",Irish Restaurants
Morandi Restaurant,20 Years,(579),(212) 627-7575,http://www.morandiny.com/,"211 Waverly Pl
New York, NY 10014",Italian Restaurants
Crema Restaurante,19 Years,No rating,(212) 691-4477,No website link available,"111 W 17th St
New York, NY 10011",Family Style Restaurants
